id_odsp,adv_stats,date,season,league,ht,at,fthg,ftag
CbSpcEyc/,TRUE,2013-08-09,2014,Ligue 1,Montpellier,Paris Saint-Germain,1,1
Cd9m9zVm/,FALSE,2013-08-09,2014,Bundesliga,Bayern Munich,Borussia Monchengladbach,3,1
0KbSvXLS/,TRUE,2013-08-10,2014,Ligue 1,Evian Thonon Gaillard,Sochaux,1,1
0KhTQadj/,FALSE,2013-08-10,2014,Bundesliga,TSV Eintracht Braunschweig,Werder Bremen,0,1
AisjfCLF/,TRUE,2013-08-10,2014,Ligue 1,Valenciennes,Toulouse,3,0
bev3YUbd/,TRUE,2013-08-10,2014,Ligue 1,Lyon,Nice,4,0
nF106YE6/,FALSE,2013-08-10,2014,Bundesliga,Hannover 96,VfL Wolfsburg,2,0
phzaZAqj/,TRUE,2013-08-10,2014,Ligue 1,Lille,Lorient,1,0
tx145hUC/,FALSE,2013-08-10,2014,Bundesliga,TSG Hoffenheim,Nurnberg,2,2
vBiXPJBd/,FALSE,2013-08-10,2014,Bundesliga,Hertha Berlin,Eintracht Frankfurt,6,1
W0rneh69/,TRUE,2013-08-10,2014,Ligue 1,Stade Rennes,Stade de Reims,2,1
WpfOuD6M/,TRUE,2013-08-10,2014,Ligue 1,Bordeaux,AS Monaco,0,2
xIJ703ro/,FALSE,2013-08-10,2014,Bundesliga,FC Augsburg,Borussia Dortmund,0,4
YBcd7Ea0/,FALSE,2013-08-10,2014,Bundesliga,Bayer Leverkusen,SC Freiburg,3,1
2TpfziUq/,TRUE,2013-08-11,2014,Ligue 1,Guingamp,Marseille,1,3
hfeKtgiG/,TRUE,2013-08-11,2014,Ligue 1,AC Ajaccio,St Etienne,0,1
jm8i8fpf/,FALSE,2013-08-11,2014,Bundesliga,Schalke 04,Hamburg SV,3,3
KSa84CqJ/,FALSE,2013-08-11,2014,Bundesliga,Mainz,VfB Stuttgart,3,2
4SLS7VkF/,TRUE,2013-08-16,2014,Ligue 1,Sochaux,Lyon,1,3
4EtfgWzM/,TRUE,2013-08-17,2014,Ligue 1,Bastia,Valenciennes,2,0
4z2Ttup4/,FALSE,2013-08-17,2014,Premier League,Norwich City,Everton,2,2
6B4NoGj6/,FALSE,2013-08-17,2014,Bundesliga,Hamburg SV,TSG Hoffenheim,1,5
6mQvfvqQ/,FALSE,2013-08-17,2014,Bundesliga,VfB Stuttgart,Bayer Leverkusen,0,1
6TDLdlv0/,TRUE,2013-08-17,2014,La Liga,Valencia,Malaga,1,0
A5MO8Bz9/,TRUE,2013-08-17,2014,Ligue 1,St Etienne,Guingamp,1,0
b5DFafkU/,FALSE,2013-08-17,2014,Premier League,Swansea,Manchester Utd,1,4
bo5Jndy0/,FALSE,2013-08-17,2014,Bundesliga,SC Freiburg,Mainz,1,2
bqv1xKho/,TRUE,2013-08-17,2014,La Liga,Real Valladolid,Athletic Bilbao,1,2
C01XuaaA/,FALSE,2013-08-17,2014,Premier League,Sunderland,Fulham,0,1
